event_name,event_start_at,event_end_at,receiver_uid,event_type,event_time,first_follow,bind_date,brand_id
測試B,2022-09-16,2022-09-30,Uddf8ae9ee1ca6acc460b3e59a590f610,enter,2022-09-20 15:56:02,,2017-12-01 06:38:30,1
測試B,2022-09-16,2022-09-30,U213383cf1a10df1491e0aca533a22489,enter,2022-09-20 15:49:40,2020-07-14 15:17:43,2022-08-02 15:00:16,1
測試B,2022-09-16,2022-09-30,U6920171de4b088d2f719be0caf888bdf,enter,2022-09-20 15:49:31,2022-04-27 19:23:15,,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 15:48:20,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,Uddf8ae9ee1ca6acc460b3e59a590f610,enter,2022-09-20 15:47:30,,2017-12-01 06:38:30,1
測試B,2022-09-16,2022-09-30,U1739ae99c01336ee785b01b79a06278a,enter,2022-09-20 15:46:44,,2017-01-26 16:17:28,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 15:46:09,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 15:43:57,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U6611d2e9016941f5604d4bef2a74f0b1,enter,2022-09-20 15:42:01,2022-01-25 17:00:12,2022-01-25 17:01:13,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 15:41:26,,2021-07-24 18:37:41,1
測試B,2022-09-16,2022-09-30,U8579f39cf6147aeed0dcdd7a1fee86cd,enter,2022-09-20 15:41:13,,2022-07-21 17:08:53,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 15:39:39,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,Uf164313ee42902771267bf5e3e45f4b2,enter,2022-09-20 15:39:11,2020-03-11 11:47:38,2022-09-08 17:07:22,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 15:37:44,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U6611d2e9016941f5604d4bef2a74f0b1,enter,2022-09-20 15:35:56,2022-01-25 17:00:12,2022-01-25 17:01:13,1
測試B,2022-09-16,2022-09-30,U213383cf1a10df1491e0aca533a22489,enter,2022-09-20 15:33:49,2020-07-14 15:17:43,2022-08-02 15:00:16,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 15:33:25,,2019-04-08 23:11:14,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 15:32:23,,2021-07-24 18:37:41,1
測試B,2022-09-16,2022-09-30,U213383cf1a10df1491e0aca533a22489,enter,2022-09-20 15:31:26,2020-07-14 15:17:43,2022-08-02 15:00:16,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 15:31:04,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,U31caa7a38bbceb461f8b7c069c4ec46f,enter,2022-09-20 15:30:25,,2021-11-10 21:40:18,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 15:29:40,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 15:28:44,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U779cdf337865d14c9fe59c8e655166ba,enter,2022-09-20 15:27:35,,0000-00-00 00:00:00,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 15:22:35,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 15:22:23,,2019-04-08 23:11:14,1
